nom,ingredients,passos,desdejuni,dinar,sopar,snack,apartat
Amanida tofu,"['120-150g de tofu ferm', '70g de kale (i/o enciams,espinacs, etc)', '100 g de tomàquets cherry (o 1unitat mitjana de tomàquet)', '25 g de ceba morada', '100 g de pastanaga', '20 g de llavors de carbassa', '5 g de coriandre o menta fresca (opcional)', '0.5g pebre vermell picant en pols (opcional)']",[],1,1,1,0,['Amanida']
Vinagreta,"[""20ml d'oli d'oliva"", '10 ml de salsa soja tamari', ""10 ml d'aigua"", '5 ml de suc de llimona', '0.3g de gingebre en pols (opcional)', ""10 g d'eritritol (opcional)"", '2 g de cibulet (cebollino)']",[],0,1,1,0,[]
Salmó amb mongetes amb mantequilla,"['1 llom de salmó (150-200g)', ""7ml d'oli d'oliva (1/2 cullerada)"", 'Sal i pebre al gust', '15 g de mantega sense sal', '120 g de mongetes verdes', ""15 g d'ametlles"", '1 all', '1⁄2 llimona']",[],0,1,1,0,[]
Hamburguesa de salmó amb pernil salat i patata (probiòtica),"['1 llom de salmó sense pell (200-250g)', '1 ou', ""8g de cibulet o part verd d'una ceba tendra o grell"", '1 all', ""10 ml d'oli d'oliva(1 cullerada)"", '30 g de formatge parmesà', 'Espècies (al gust)', 'Sal i pebre al gust', 'Un tall de pernil']","['Encalentir el forn a 200°C i preparar la safata (si no és antiadherent posar paper de forn al fons).', 'Tallar el salmó a daus', ""Mesclar en un bol: el salmó “picat”, l'ou, el formatge, el cibulet, l'all, la sal, el pebre i les espècies."", 'Fer dues bolles de carn picada de salmó (aproximadament 70-100g cadascuna) i aixafar (1-2cm de gruixa) amb les mans.', 'Col·locar les hamburgueses sobre la safata de forn.', 'Embolicar les hamburgueses amb el pernil.']",0,1,1,0,[]
Lluç amb crosta d’ametlles i parmesà,"['1 filet de lluç amb pell (150-200g)', '10 g de mantega sense sal', ""15 g d'ametlles filetejades"", '10 g de formatge parmesà', '1⁄2 llimona', 'Sal i pebre al gust']","['Encalentir el forn a 170°C i preparar la safata de forn (si no és antiadherent posar paper de forn).', 'Col·locar en un bol: la mantega, les ametlles, el formatge i la ratlladura de llimona. Barregeu-ho tot amb els dits fins a obtenir una espècie de massa.', 'deixar el peix net d’espines i condimentar-ho amb sal i pebre.', 'Col·locar el peix a la safata de forn amb la pell cap avall i cobrir-lo amb la massa de mantega i ametlles.', ""Enfornar entre 10 i 12 minuts fins que la crosta d'ametlles comenci a daurar."", 'Afegir les gotes del suc de llimona i servir immediatament.']",0,1,1,0,[]
Gratén de peix,"['450g de filets de lluç (o qualsevol peix blanc: bacallà, daurada o ...gambetes)', '275g de patates', '110 ml de llet sencera', ""275 ml d'aigua o de brou de peix"", '25 g de mantega sense sal', '110g de ceba blanca', '1 fulla de llorer', '0.5g de farigola', '0.5g de nou moscada (opcional)', 'Sal i pebre al gust', '55 ml de nata líquida', '45 g de formatge parmesà o cheddar']","['Encalentir el forn a 200°C i preparar la safata per a forn (si no és antiadherent posar paper de forn).', ""Posar dins l’olla: la llet, l'agua, les patates, la fulla de llorer i la sal. Bullir fins que les patates siguin cuites."", 'Treure les patates i xafarles amb una forqueta fins fer-les puré.', 'Eixugar el lluç amb una servilleta i trempar-lo amb sal i pebre bo al gust.', 'Fogregir la ceba amb la mantega i el romaní fins que sigui translúcida.', 'Afegir els filets de peix. Cuinar tot a foc baix 7 minuts (fins que el peix estigui fet.', ""Esmicolar el peix i passar-ho a la llet juntament amb la ceba. Remenar-ho tot molt bé i continuar cuinant a foc baix fins que s'espesseixi. Apagar i afegir la nata líquida temperada i la nou moscada. Ajustar la sal."", 'Montar el gratén dins el motlle. Col·locar una capa amb 2/3 de les patates al fons, després afegir i distribuir el peix, i cobrir novament amb el terç restant de patates.', 'Escampar el formatge ratllat per tota la superfície de la grata i enfornar per 10 min fins que dauri el formatge. Servir la meitat i guardar l’altre meitat']",0,1,1,0,[]
Crema de pastanaga amb coco i gingebre,"['660 g de pastanagues', '3 alls', '15 g de gingebre fresc (o 0.2g en pols)', '25 g de mantega sense sal', '330 ml de brou casolà de pollastre (o aigua)', '110 ml de llet de coco', '0.3g de cúrcuma en pols (opcional)', '0.5g de pebre vermell dolç (opcional)', 'Sal i pebre al gust', 'Fulles de julivert o menta (opcional)']","['Col·locar una olla a foc mitjà i fondre la mantega.', ""Afegir l'all i el gingebre i cuinar per 1 minut."", 'Afegir la cúrcuma, el pebre vermell i la pastanaga (tallada). Remenar-ho tot i cuinar 2 minuts.', 'Afegir el brou de pollastre (o aigua) i la llet de coco. Cuinar 10-15 minuts o fins que la pastanaga estigui cuita.', 'Apagar el foc i deixar refredar. Batre.', 'Mirar que estigui bé de sal i posar-li el julivert per damunt per servir-la']",0,0,1,0,[]
Amanida de sardines,"['150 g de tomàquet (1 unitat mitjana)', '200 g de cogombre (1⁄2 cogombre)', '25 g de ceba morada (1/4 de ceba)', '100 g de pebre verd', '10 olives negres', '30-50 g de formatge feta', ""1g d'orenga"", ""15ml d'oli d'oliva"", '5ml de vinagre', 'Sal i pebre al gust', '10g de nous (o pinyons)', '1 llauna de sardines']","['Tallar tots els ingredients d’una mida similar (al gust)', 'Mesclarlos i trempar']",0,1,1,0,['Amanida']
Frittata d’espinacs i formatge de cabra,"['6 ous', '15 g de nata líquida (opcional)', '15 g de mantega sense sal freda', '30 g de formatge parmesà', '60 g de formatge de cabra (feta o ricotta)', ""150g d'espinacs"", '50 g de ceba blanca', ""8 g de cibulet o part verd d'una ceba tendra"", ""7ml d'oli d'oliva (1⁄2 cullerada)"", ""5g de fulles d'orenga fresc (menys de 0.5g si és sec)"", 'Sal i pebre al gust']","['Encalentir el forn a 180°C i preparar la safata de forn (si no és antiadherent posar-li paper).', 'Posar en un bol gros: els ous, la nata líquida, la mantega, la sal i el pebre.', 'Remenar amb la forqueta i reservar.', 'Encalentir la paella per 2 minuts a foc mitjà. Afegir loli i esperar una mica. Afegir la ceba i saltar per 1-2 minuts.', 'Afegir els espinacs i el cibulet. Remenar i tapar fins que s’hagin fet les fulles d’espinacs.', 'Posar dins el motlle o la font (que ficarem al forn): els vegetals, després el formatge de cabra esmicolat sobre els vegetals.', ""Cobrir els vegetals amb els ous batuts i remenar una mica per barrejar. Escampar les fulles d'orenga"", 'I finalment posar-li damunt de tot el formatge parmesà.', 'Enfornar: 15-20 minuts o fins que la frittata comenci a daurar.', 'Treure del forn i esperar que refredi almenys 5 minuts.', 'Tallar en dues porcions. Guardar-ne una per dijous a vespre.']",1,0,1,0,[]
Pebres farcits d'indiot amb arròs basmati,"['2 pebrots (vermells, grocs o verds)', '300 g de gall dindi picat (mòlt)', ""2 dents d'all"", '50 g de ceba blanca', '225 ml de tomàquet triturat natural', ""15ml d'oli d'oliva (una cullerada)"", ""3g d'orenga fresc (0.5g en pols)"", '1g de pebre vermell dolç (en pols)', 'Sal i pebre al gust', '60 g de formatge parmesà']","['Encalentir el forn a 180°C i preparar la safata de forn (si no és antiadherent posar paper de forn).', 'Tallar els pebres per la part de dalt (on surt la tija) i retirar les llavors. Col·locar sobre la safata de forn.', 'Posar la paella al foc amb l’oli i saltejar la ceba uns minuts, afegir l’all i l’orenga.', 'Uns minuts més tard afegir la carn, afegir sal i pebre bò.', 'Afegir la salsa de tomàquet i el pebre vermell.', 'Deixar coure fins que s’evapori tota l’agua. Anar remenant.', 'Omplir els pebrots amb la carn i posar-li el parmesà per damunt la carn al final', 'Enfornar els pebrots per 20-30 minuts (o fins que estiguin fets). Servir només la meitat de la preparació. L’altre meitat és pel dinar del dijous.']",0,1,0,0,[]
Amanida grega,"['150 g de tomàquet (1 unitat mitjana)', '200 g de cogombre (1⁄2 cogombre)', '25 g de ceba morada (1/4 de ceba)', '100 g de pebre verd', '10 olives negres', '30-50 g de formatge feta', ""1 g d'orenga"", ""15 ml d'oli d'oliva"", '5 ml de vinagre', 'Sal i pebre al gust', '10g de nous (o pinyons)']","['Tallar tots els ingredients d’una mida similar (al gust)', 'Mesclar-los i trempar']",0,0,1,0,['Amanida']
Ous remenats amb formatge i cibulet,"['3 ous', '30 g de formatge semicurat', ""5 g de cibulet o 1⁄2 part verd d'una ceba tendra"", '10 g de mantega sense sal freda', ""7ml d'oli d'oliva (1⁄2 cullerada)"", 'Sal i pebre al gust']","['Encalentir la paella i posar-li l’oli.', 'Remenar els ous en un bol, amb la mantega, sal i pebre bò.', 'Tirar els ous a la paella, seguidament li tirarem el formatge per damunt i el cibulet i remenarem.', 'Cuinar al gust (més o menys cuits)']",1,0,1,0,[]
Boniato al forn,"['200g moniato o camote (1 mitjà)', '10 g de mantega', 'Canyella en pols']","['Encalentir el forn a 200°C i preparar la safata de forn (si no és antiadherent posar paper de forn).', ""Pelar i tallar el boniato en bastonets o en rodanxes d'uns 0.5 cm."", 'Col·locar el boniato tallat en un bol. Untar amb la mantega i empolvorar la canyella. Utilitzar les mans per untar-ho tot.', 'Distribuir els trossos de camot sobre la safata i coure uns 20 minuts, o fins que daurin.']",0,1,0,0,[]
Solomillo de vedella a la planxa,"['150-200g de filet de vedella (filet o medalló)', ""10ml d'oli d'oliva"", 'Sal i pebre al gust', '5 g de mantega sense sal']","[""Encalentir la paella a foc mitjà. Afegir l'oli d'oliva i encalentir-lo fins que canvii i sigui ben líquid."", 'Aixugar la carn amb una servilleta. Untar la carn amb la mantega. Adobar amb sal i pebre al gust.', 'Segellar el filet a la paella de 2 a 3 minuts per cada costat (així ens quedarà mig fet, el podem fer més si no agrada així.', 'Treure de la paella, posar en un plat i tapar i deixar reposar durant 5 minuts abans de servir.']",0,1,0,0,[]
Pa de plàtan amb xispes de xocolata,"['1 plàtan madur', '1 ou', '15 g de mantega sense sal', ""10ml d'oli de coco (o mitja cullerada)"", '5 ml de iogurt natural sense sucre (opcional)', '17 g de farina de coco', '1 g de canyella', '0.5 g de bicarbonat de sodi', '0.5 g de llevadura en pols (tipo Royal)', ""3 ml d'essència de vainilla"", 'Sal', '10 g de xocolata 90%', '10 g de nous picades', '2 g de stevia o eritritol (opcional)']","['Encalentir el forn a 200°C.', 'Preparar el motlle col·locant paper de forn o untar-lo amb una mica de mantega i damunt una mica de farina de coco.', ""Batre: el plàtan, l'ou, la mantega, l'oli de coco, el iogurt, l'extracte de vainilla i l’eritritol o estèvia si en voleu posar."", 'Mesclar en un bol la farina de coco, la canyella, el bicarbonat, la pols de coure i una mica de sal.', 'Mesclar les dues mescles anteriors (pots emprar la batedora)', 'Afegir els trossos de xocolata i nous picades i remenar-ho amb una cullera.', 'Buidar la mescla al motlle i enfornar per 20 minuts, per saber si està cuit emprar un bastonet de fusta.', 'Treure del forn i deixar refredar uns minuts abans de treure del motlle.']",1,0,0,1,[]
Escalopins de porc amb tomí i llimona amb coliflor al forn,"[""150–200g d'escalops delomodecerdo(en1o 2 peces)"", ""15ml d'oli d'oliva"", ""1 gra d'all"", '1⁄2 llimona', '1g de farigola fresca (o 0.5g sec)', 'Sal i pebre al gust']","['Aixugar la carn amb una servilleta. Adobar amb sal i pebre.', ""Encalentir la paella o la planxa a foc mitjà amb l'oli d'oliva."", ""Afegiri l'all i quan comenci a daurar, treure’l i passar-lo al bol i reservar (deixar l'oli a la paella)."", 'Pujar el foc i encalentir la paella fins que l’oli sigui ben líquid.', ""Sellar l'escalop pels dos costats fins que dauri (2 a 3 minuts per costat)."", ""Baixar el foc, afegir el tomí, l'all i unes gotes de suc de llimona."", 'Tapar i deixar cuinar 3 minuts.', 'Retirar del foc i deixar reposar 2 minuts abans de servir.']",0,1,0,0,[]
Alvocat farcit de salmó fumat,"[""200 g d'alvocat madur (1 mitjà)"", '100 g de salmó fumat', '50 g de cogombre', ""5 g de cibulet o 1⁄2 part verd d'una ceba tendra"", ""7 ml d'oli d'oliva (1⁄2 cullerada)"", '7 ml de salsa Tamari (opcional)', '1⁄2 llimona', 'Llavors de sèsam al gust (opcional)', 'Sal']","[""Tallar l'alvocat per la meitat i llevar el pinyol."", ""Treure amb una cullera part de la polpa de l'alvocat sense arribar a la pell i col·locar-la al bol. Deixar les meitats amb la pell (i part de la polpa) en un plat."", ""Afegir al bol el cibulet, la llimona, l'oli d'oliva i un pessic de sal. Mesclar amb una forqueta juntament amb la polpa d'alvocat fins a obtenir una pasta."", 'Afegir el salmó (tallat petit), el cogombre (tallat petit) i la salsa Tamari i mesclar', ""Omplir les meitats d'alvocat amb la barreja i posar el sèsam per damunt.""]",0,1,1,0,[]
Fumet de gambes (ceto),"['100 g de gambes pelades (veure observacions)', '200 g de coliflor', '50 g de ceba blanca', ""1 gra d'all"", ""8 g de cibulet o part verd d'una ceba tendra"", '10 g de mantega', '300 ml de brou de pollastre o peix', '30 ml de nata líquida', '3g de fulles de coriandre (opcional)', 'Sal al gust']","['Fondre la mantega dins una olla grossa a foc mitjà.', ""Afegiri la ceba i l'all. Cuinar remenant fins que la ceba torni transparent."", 'Afegir les gambes i saltjar-les amb la ceba un minut.', 'Afegir la coliflor i el brou. Posar sal. Pujar el foc fins que prengui el bull i després baixar-lo. Cuinar 10 minuts, remenant de tant en tant.', 'Apagar el foc, afegir la nata líquida, el cibulet i el coriandre. Remeneu-ho tot i deixar reposar 3 minuts (l’olla tapada).', 'Servir.']",0,0,1,0,[]
Fritatta de xerris amb xoriç,"['6ous', '10g de nata líquida (opcional)', '15g de mantega sense sal freda', '60g de xoriço', '120g de tomàquets cherry madurs', '50g de ceba blanca', '20g de kale (opcional)', '30g de formatge parmesà', ""3g de fulles d'alfàbrega fresca (veure observacions)"", 'Sal i pebre al gust']","['Encalentir el forn a 180°C i preparar la safata (si no és antiadherent se suggereix posar-hi paper de forn).', 'Tirar els ous en un bol. Afegir la nata líquida, la mantega freda, la sal i el pebre. Batre els ous suaument amb la forquilla i reservar.', 'Encalentir la paella. Afegir el xoriç i saltejar fins que comenci a amollar el greix . Afegir la ceba i saltar per 2-3 minuts o fins que estigui translúcida.', 'Afegir les tomàtigues i la col kale. Saltejar-los amb la ceba i el xoriç. Tapar i esperar que les fulles de kale s’ablaneixin una mica.', 'Passar els vegetals i el xoriç a la safata de forn cobrint tota la seva superfície.', ""Cobrir amb els ous batuts i remenar-ho tot amb la forquilla per barrejar bé els vegetals amb l'ou."", ""Posar les fulles d'alfàbrega per damunt i després el parmesà."", 'Enfornar uns 15 minuts o fins que la frittata comenci a daurar.', 'Treure del forn i esperar que refredi almenys 5 minuts.', 'Tallar en dues porcions. Guardar-ne una dimecres dematí.']",1,0,1,0,[]
Pollastre a les fines herbes,"['400-500g de pollastre a trossos amb os i pell', '1⁄2 llimona', ""2-3 dents d'all"", '5g de romaní fresc (1g en pols)', ""5g d'orenga fresc (0.5g en pols)"", '15g de mostassa Dijon', ""15ml d'oli d'oliva (una cullerada)"", 'Sal i pebre al gust']","['Encalentir el forn a 180°C i preparar la safata de forn (posa paper de forn si falta).', ""Mescla en un bol: l'all, el romaní, l'orenga, la mostassa, la pell de llimona, l'oli d'oliva, la sal i el pebre. Picar i mesclar-ho tot fins que faci oloreta."", 'Eixugar el pollastre amb una servilleta. Untar tota la pell amb la llimona.', 'Untar cada peça per defora i per dedins de la pell amb la mescla de fines herbes. Afegir una mica de sal adicional sobre la pell.', 'Col·locar dins la safata de forn i tapar amb paper alumini.', 'Coure al forn tapat per 30 minuts. Després llevar el paper d’alumini.', 'Enfornar per 15 minuts més o fins que la pell del pollastre comenci a daurar.', 'Servir. (Pensa que són dues racions, en quedarà per un altre dia.)']",0,1,0,0,['Pollastre']
Salmó a la planxa,"['150 g de llom de salmó (amb pell preferiblement)', ""7 ml d'oli d'oliva"", 'Sal i pebre al gust']",[],0,1,1,0,[]
Vinagreta de tomàquet cherry (opcional),"['40g de tomàquets cherry (4 unitats)', '10g de ceba morada', ""3g de fulles d'alfàbrega"", ""7ml d'oli d'oliva"", '1⁄2 llimona', 'Sal i pebre al gust']","['Eixugar el salmó amb una servilleta.', ""Afegir unes gotes d'oli i trempar-lo amb sal i pebre al gust."", ""Encalentir la planxa (o paella) a foc mitjà-alt per 2 minuts. Afegir l'oli d'oliva i esperar que sigui ben líquid."", 'Col·locar el salmó a la paella amb la pell cap per avall. Sellar el llom 4 minuts fins que la pell dauri i girar-lo i sellar 2 minuts més. Baixar el foc.', 'Posar dins un bol els ingredients de la vinagreta.', 'Servir el salmó amb la vinagreta de xerris.']",0,1,1,0,[]
Guacamole,"[""200g d'alvocat madur (una unitat)"", '100g de tomàquet (un petit)', '30g de ceba blanca', '10g de coriandre (fulles', '1 llimona', ""7ml d'oli d'oliva"", 'Sal i pebre al gust']","[""Tallar l'alvocat per la meitat. Retireu la llavor i treure la polpa amb una cullera."", ""Tallar una meitat de l'alvocat a trossos petits i reservar."", ""Col·locar l'altra meitat de l'alvocat en un bol, afegir-hi un raig de llimona, l'oli d'oliva, la sal i el pebre. Xafar-ho tot amb la forqueta fins a fer un puré."", 'Afegir la ceba i el coriandre. Remenar.', ""Afegir la tomàtiga i la resta de l'alvocat."", 'Afegir novament una mica de llimona, un poc de sal i pebre.', 'Remenar amb la forqueta sense picar.', 'Servir.']",1,1,1,1,[]
Granola,"[""80g d'ametlles naturals"", '70g de nous naturals', '20g de llavors de carbassa', '5-10g de chía (opcional)', ""20g d'ametlles filetejades (opcional)"", '35g de llavors de lli mòltes', '10g de coco ratllat', ""55g d'eritritol"", '1 ou', '30g de mantega o oli de coco', ""5ml d'essència de vainilla""]","['Encalentir el forn a 200°C i preparar una safata de forn (amb un full de paper de forn perquè no s’aferri).', ""Picar les ametlles mitjançant fins que estiguin tallades, però encara a trossos grans. Afegir les nous i les llavors de carbassa, la chía, les llavors de lli i l'eritritoll, les ametlles filetejades i el coco ratllat"", ""Afegir l'ou i la mantega."", 'Mesclar fins que quedi una mescla homogènia.', 'Escampar la granola a la safata de forn formant una fina capa.', 'Enfornar de 10 a 20 minuts o fins que la granola comenci a daurar.', 'Treure del forn i verificar si queden espais sense daurar. En aquest cas, remenar amb la cullera i tornar a introduïu al forn.', 'Treure la granola i deixar refredar.', 'Emmagatzemar al pot de vidre fins al seu ús.']",1,0,0,1,[]
Broqueta de gambes amb xoriç,"['80 g de gambes i 8 llagostins (pelats)', '40 g de xoriço (tros sencer)', ""15ml d'oli d'oliva"", ""1 gra d'all (opcional)"", '1⁄2 llimona', 'Sal i pebre al gust']","['Punxar 2 gambes i dues rodanxes de xoriç alternativament.', 'Montar 4 broquetes.', ""Mesclar en un bol l'oli d'oliva, l'all, la sal i el pebre. Remenar amb la brotxa i després untar cada broqueta amb la mescla."", 'Encalentir la planxa o paella a foc mitjà-alt dos minuts.', 'Col·locar les broquetes a la planxa o paella', 'Cuinar de 1 a 2 minuts o fins que les gambes tornin color rosa. Voltejar les bro-', 'xetes i cuinar el mateix temps per l’altre costat', 'Posar-li una mica més de sal i pebre.', 'Servir amb unes gotes de llimona.']",0,0,1,0,[]
"Ous bullits amb salmó fumat, tàperes i maionesa","['2 ous', 'Aigua', '50g de salmó fumat', '30g de maionesa', '10g de tàperes (opcional)', '5g de mostassa Dijon (opcional)', '4g de cibulet (opcional)', 'Sal i pebre al gust']","['Bullir els ous. Si agraden poc fets 7-8 minuts.', 'Pelar-los', 'Mesclar la maionesa, la mostassa i', 'les tàperes.', 'Servir col·locant en un plat el salmó fumat, els ous, la maionesa i les tàperes', 'Tirar-li per damunt el cibulet, la sal i el pebre negre.']",1,0,1,0,[]
Risotto de coliflor amb gambes i bolets,"[""200g d'arròs de coliflor → rallar-la o picar-la"", '100g de gambes pelades', '70g de bolets', '30g de ceba blanca', '10g de mantega sense sal', ""120ml d'aigua o brou de peix (o de verdures)"", '10ml de nata líquida', '10g de formatge parmesà', '10g de salsa pesto (opcional)', 'Sal i pebre al gust']","[""Encalentir l'olla a foc mitjà-baix. Fondre la mantega i afegir la ceba. Sofregir.."", 'Afegir els bolets i saltejar-los amb la ceba 1 minut.', ""Encalentir l'aigua o el brou de peix."", ""Afegiu l'arròs de coliflor. Mesclar amb la ceba i els bolets i cuinar 1 minut."", ""Afegir l'aigua o el brou, les gambes i un poc de sal. Remenar-ho tot. Bullir 5 minuts."", 'Apagar el foc. Afegir-hi la nata líquida i el formatge parmesà. Remenar-ho tot bé, fins que el formatge es fongui completament.', 'Servir i afegir la salsa pesto al centre del risotto (opcional). Afegir pebre al gust.']",0,1,1,0,[]
Crema de carabassí,"['500g de carabassí', '100g de patates (només durant fase I i III)', '20 g de mantega sense sal', '50 g de ceba blanca', '2 alls', '350 ml de brou de pollastre', ""60 g d'alvocat"", '40 ml de nata líquida o llet de coco (opcional)', '1 fulla de llorer', '1⁄2 llimona', 'Sal i pebre al gust', '3g de julivert o coriandre (opcional)']","['Fondre la mantega dins l’olla', ""Afegir la ceba i l'all. Cuinar movent regularment fins que siguin translúcids."", 'Afegir els carbassons1 tallats, la patata, el llorer, el brou de pollastre (o aigua) i ajustar la sal. Cuinar 10 minuts o fins que els carbassins estiguin cuits. Apagar el foc', ""Afegir l'alvocat tallat a trossos mitjans"", 'Afegir la nata (o llet de coco)', 'Retirar la fulla de llorer. Passar pel turmix.', 'Servir amb el julivert o el coriandre.']",0,0,1,0,[]
"Tortilla de coliflor, formatge i salmó","[""200g d'arròs de coliflor (coliflor rallada)"", '1 ou', '30g de formatge parmesà', '4g de cibulet', '10g de lli mòlt (opcional)', 'Sal i pebre al gust', '50g de salmó fumat', ""7ml d'oli d'oliva""]","['Cuinar la coliflor al microones per 2-3 minuts. Treure, remmenar i tornar a ficar 2-3 minuts més.', 'Treure i deixar refredar com a mínim 10 minuts o el temps que sigui necessari per poder manejar-la amb les mans.', ""Posar la coliflor enmig d’un padaç de cuina. Enrotllar el padaç i espremer el més fort possible per treure la major quantitat d'aigua."", ""Encalentir la paella a foc mitjà i afegir-hi l'oli d'oliva."", ""Dins un bol, mesclar la coliflor, l'ou, el formatge, el lli, el cibulet, la sal i el pebre. Remeneu-ho tot amb l'espàtula fins a obtenir una massa homogènia."", ""Posar a la paella una cullerada de la massa i aixafar amb l'espàtula perque quedi una coca. Cuinar fins que dauri per una banda, donar-li la volta i cuinar per l'altra banda fins daurar."", 'Repetir fins acabar la massa.', 'Col·locar el salmó fumat sobre les tortilles i servir calentes. 1']",1,0,1,0,[]
